r_p,wavelength,scat_sigma
4.40404e-08,5.44826e-07,5.52507e-15
4.40404e-08,5.42784e-07,5.59145e-15
4.40404e-08,5.40756e-07,5.65427e-15
4.40404e-08,5.38744e-07,5.7098e-15
4.40404e-08,5.36747e-07,5.75326e-15
4.40404e-08,5.34765e-07,5.77927e-15
4.40404e-08,5.32797e-07,5.78249e-15
4.40404e-08,5.30843e-07,5.75821e-15
4.40404e-08,5.28904e-07,5.70297e-15
4.40404e-08,5.26979e-07,5.61494e-15
4.40404e-08,5.25068e-07,5.49427e-15
4.40404e-08,5.23171e-07,5.3431e-15
4.40404e-08,5.21287e-07,5.16541e-15
4.40404e-08,5.19417e-07,4.96673e-15
4.40404e-08,5.1756e-07,4.7536e-15
4.40404e-08,5.15717e-07,4.53306e-15
4.40404e-08,5.13886e-07,4.31204e-15
4.40404e-08,5.12069e-07,4.09685e-15
4.40404e-08,5.10264e-07,3.89276e-15
4.40404e-08,5.08472e-07,3.70375e-15
4.40404e-08,5.06693e-07,3.53239e-15
4.40404e-08,5.04926e-07,3.37991e-15
4.40404e-08,5.03171e-07,3.24638e-15
4.40404e-08,5.01429e-07,3.131e-15
4.40404e-08,4.99698e-07,3.03239e-15
4.40404e-08,4.97979e-07,2.94893e-15
4.40404e-08,4.96272e-07,2.87904e-15
4.40404e-08,4.94577e-07,2.82133e-15
4.40404e-08,4.92894e-07,2.77478e-15
4.40404e-08,4.91221e-07,2.73865e-15
4.40404e-08,4.8956e-07,2.71253e-15
4.40404e-08,4.87911e-07,2.69613e-15
4.40404e-08,4.86272e-07,2.68924e-15
4.40404e-08,4.84644e-07,2.69153e-15
4.40404e-08,4.83028e-07,2.70252e-15
4.40404e-08,4.81421e-07,2.72154e-15
4.40404e-08,4.79826e-07,2.74769e-15
4.40404e-08,4.78241e-07,2.77998e-15
4.40404e-08,4.76667e-07,2.81736e-15
4.40404e-08,4.75103e-07,2.85888e-15
4.40404e-08,4.73549e-07,2.90373e-15
4.40404e-08,4.72005e-07,2.95138e-15
4.40404e-08,4.70471e-07,3.00152e-15
4.40404e-08,4.68947e-07,3.05413e-15
4.40404e-08,4.67433e-07,3.10938e-15
4.40404e-08,4.65929e-07,3.16752e-15
4.40404e-08,4.64435e-07,3.22882e-15
4.40404e-08,4.6295e-07,3.29347e-15
4.40404e-08,4.61474e-07,3.36147e-15
