r_p,wavelength,abs_sigma
4.65306e-008,4.46939e-007,3.01789e-014
4.65306e-008,4.53061e-007,3.08078e-014
4.65306e-008,4.59184e-007,3.11587e-014
4.65306e-008,4.65306e-007,3.14246e-014
4.65306e-008,4.71429e-007,3.20873e-014
4.65306e-008,4.77551e-007,3.27787e-014
4.65306e-008,4.83673e-007,3.31791e-014
4.65306e-008,4.89796e-007,3.34565e-014
4.65306e-008,4.95918e-007,3.41112e-014
4.65306e-008,5.02041e-007,3.42937e-014
4.65306e-008,5.08163e-007,3.47297e-014
4.65306e-008,5.14286e-007,3.49131e-014
4.65306e-008,5.20408e-007,3.54423e-014
4.65306e-008,5.26531e-007,3.58589e-014
4.65306e-008,5.32653e-007,3.6055e-014
4.65306e-008,5.38776e-007,3.6088e-014
4.65306e-008,5.44898e-007,3.67151e-014
4.65306e-008,5.5102e-007,3.6729e-014
4.65306e-008,5.57143e-007,3.70329e-014
4.65306e-008,5.63265e-007,3.73036e-014
4.65306e-008,5.69388e-007,3.76063e-014
4.65306e-008,5.7551e-007,3.80197e-014
4.65306e-008,5.81633e-007,3.84228e-014
4.65306e-008,5.87755e-007,3.83102e-014
4.65306e-008,5.93878e-007,3.87778e-014
4.65306e-008,6e-007,3.8992e-014
4.73469e-008,3e-007,1.15778e-014
4.73469e-008,3.06122e-007,1.25223e-014
4.73469e-008,3.12245e-007,1.31593e-014
4.73469e-008,3.18367e-007,1.32913e-014
4.73469e-008,3.2449e-007,1.46277e-014
4.73469e-008,3.30612e-007,1.54035e-014
4.73469e-008,3.36735e-007,1.60591e-014
4.73469e-008,3.42857e-007,1.72271e-014
4.73469e-008,3.4898e-007,1.75395e-014
4.73469e-008,3.55102e-007,1.80134e-014
4.73469e-008,3.61224e-007,1.92375e-014
4.73469e-008,3.67347e-007,2.03197e-014
4.73469e-008,3.73469e-007,2.10361e-014
4.73469e-008,3.79592e-007,2.15296e-014
4.73469e-008,3.85714e-007,2.1958e-014
4.73469e-008,3.91837e-007,2.28075e-014
4.73469e-008,3.97959e-007,2.38258e-014
4.73469e-008,4.04082e-007,2.47717e-014
4.73469e-008,4.10204e-007,2.53996e-014
4.73469e-008,4.16327e-007,2.62171e-014
4.73469e-008,4.22449e-007,2.65821e-014
4.73469e-008,4.28571e-007,2.73814e-014
4.73469e-008,4.34694e-007,2.77939e-014
4.73469e-008,4.40816e-007,2.86694e-014
4.73469e-008,4.46939e-007,2.93639e-014
4.73469e-008,4.53061e-007,2.99779e-014
4.73469e-008,4.59184e-007,3.0394e-014
4.73469e-008,4.65306e-007,3.07384e-014
4.73469e-008,4.71429e-007,3.14292e-014
4.73469e-008,4.77551e-007,3.20399e-014
4.73469e-008,4.83673e-007,3.26008e-014
4.73469e-008,4.89796e-007,3.29013e-014
4.73469e-008,4.95918e-007,3.35454e-014
4.73469e-008,5.02041e-007,3.37861e-014
4.73469e-008,5.08163e-007,3.42277e-014
4.73469e-008,5.14286e-007,3.45017e-014
4.73469e-008,5.20408e-007,3.50924e-014
4.73469e-008,5.26531e-007,3.5523e-014
4.73469e-008,5.32653e-007,3.585e-014
4.73469e-008,5.38776e-007,3.60557e-014
4.73469e-008,5.44898e-007,3.64946e-014
4.73469e-008,5.5102e-007,3.68074e-014
4.73469e-008,5.57143e-007,3.72343e-014
4.73469e-008,5.63265e-007,3.75378e-014
4.73469e-008,5.69388e-007,3.78408e-014
4.73469e-008,5.7551e-007,3.8349e-014
4.73469e-008,5.81633e-007,3.8748e-014
4.73469e-008,5.87755e-007,3.88955e-014
4.73469e-008,5.93878e-007,3.93303e-014
4.73469e-008,6e-007,3.96169e-014
4.81633e-008,3e-007,1.10038e-014
4.81633e-008,3.06122e-007,1.18126e-014
4.81633e-008,3.12245e-007,1.2429e-014
4.81633e-008,3.18367e-007,1.27282e-014
4.81633e-008,3.2449e-007,1.38446e-014
4.81633e-008,3.30612e-007,1.45832e-014
4.81633e-008,3.36735e-007,1.52238e-014
4.81633e-008,3.42857e-007,1.62446e-014
4.81633e-008,3.4898e-007,1.66053e-014
4.81633e-008,3.55102e-007,1.70976e-014
4.81633e-008,3.61224e-007,1.8188e-014
4.81633e-008,3.67347e-007,1.91866e-014
4.81633e-008,3.73469e-007,1.98738e-014
4.81633e-008,3.79592e-007,2.03844e-014
4.81633e-008,3.85714e-007,2.08379e-014
4.81633e-008,3.91837e-007,2.16431e-014
4.81633e-008,3.97959e-007,2.26433e-014
4.81633e-008,4.04082e-007,2.34802e-014
4.81633e-008,4.10204e-007,2.40974e-014
4.81633e-008,4.16327e-007,2.48705e-014
4.81633e-008,4.22449e-007,2.52734e-014
4.81633e-008,4.28571e-007,2.61196e-014
4.81633e-008,4.34694e-007,2.65442e-014
4.81633e-008,4.40816e-007,2.73729e-014
4.81633e-008,4.46939e-007,2.80352e-014
4.81633e-008,4.53061e-007,2.86633e-014
4.81633e-008,4.59184e-007,2.9157e-014
4.81633e-008,4.65306e-007,2.95673e-014
4.81633e-008,4.71429e-007,3.02758e-014
4.81633e-008,4.77551e-007,3.09091e-014
4.81633e-008,4.83673e-007,3.14686e-014
4.81633e-008,4.89796e-007,3.18186e-014
4.81633e-008,4.95918e-007,3.24551e-014
4.81633e-008,5.02041e-007,3.27721e-014
4.81633e-008,5.08163e-007,3.32673e-014
4.81633e-008,5.14286e-007,3.36232e-014
4.81633e-008,5.20408e-007,3.4317e-014
4.81633e-008,5.26531e-007,3.4676e-014
4.81633e-008,5.32653e-007,3.51842e-014
4.81633e-008,5.38776e-007,3.54351e-014
4.81633e-008,5.44898e-007,3.58601e-014
4.81633e-008,5.5102e-007,3.62898e-014
4.81633e-008,5.57143e-007,3.68457e-014
4.81633e-008,5.63265e-007,3.72035e-014
4.81633e-008,5.69388e-007,3.75385e-014
4.81633e-008,5.7551e-007,3.80287e-014
4.81633e-008,5.81633e-007,3.84525e-014
4.81633e-008,5.87755e-007,3.87444e-014
4.81633e-008,5.93878e-007,3.92828e-014
4.81633e-008,6e-007,3.96476e-014
4.89796e-008,3e-007,1.01921e-014
4.89796e-008,3.06122e-007,1.09364e-014
4.89796e-008,3.12245e-007,1.15615e-014
4.89796e-008,3.18367e-007,1.18838e-014
4.89796e-008,3.2449e-007,1.28619e-014
4.89796e-008,3.30612e-007,1.35821e-014
4.89796e-008,3.36735e-007,1.41375e-014
4.89796e-008,3.42857e-007,1.51222e-014
4.89796e-008,3.4898e-007,1.54927e-014
4.89796e-008,3.55102e-007,1.59658e-014
4.89796e-008,3.61224e-007,1.69815e-014
4.89796e-008,3.67347e-007,1.79005e-014
4.89796e-008,3.73469e-007,1.85634e-014
4.89796e-008,3.79592e-007,1.90979e-014
4.89796e-008,3.85714e-007,1.95643e-014
4.89796e-008,3.91837e-007,2.03605e-014
4.89796e-008,3.97959e-007,2.12524e-014
4.89796e-008,4.04082e-007,2.20589e-014
4.89796e-008,4.10204e-007,2.26617e-014
4.89796e-008,4.16327e-007,2.34464e-014
4.89796e-008,4.22449e-007,2.39085e-014
4.89796e-008,4.28571e-007,2.47191e-014
4.89796e-008,4.34694e-007,2.51385e-014
4.89796e-008,4.40816e-007,2.59671e-014
4.89796e-008,4.46939e-007,2.66121e-014
4.89796e-008,4.53061e-007,2.73149e-014
4.89796e-008,4.59184e-007,2.77767e-014
4.89796e-008,4.65306e-007,2.8215e-014
4.89796e-008,4.71429e-007,2.89495e-014
4.89796e-008,4.77551e-007,2.96216e-014
4.89796e-008,4.83673e-007,3.01766e-014
4.89796e-008,4.89796e-007,3.05654e-014
4.89796e-008,4.95918e-007,3.12051e-014
4.89796e-008,5.02041e-007,3.16392e-014
4.89796e-008,5.08163e-007,3.21822e-014
4.89796e-008,5.14286e-007,3.25969e-014
4.89796e-008,5.20408e-007,3.32868e-014
4.89796e-008,5.26531e-007,3.36781e-014
